(WALK TA_XLegrand XLawson XWheeler)
(WALK TA_XLegrand XWheeler XNeal)
(WALK TA_XLegrand XNeal XLewis)
(WALK TA_XLegrand XLewis XMcclain)
(WALK TA_XLegrand XMcclain XKerr)
(WALK TA_XLegrand XKerr XBurke)
(WALK TA_XLegrand XBurke XDanger)
(WALK TA_XLegrand XDanger XHigginbotham)
(WALK TA_XLegrand XHigginbotham XOwens)
(WALK TA_XLegrand XOwens XMohr)
(WALK TA_XLegrand XMohr XHughes)
(WALK TA_XLegrand XHughes XHill)
(WALK TA_XLegrand XHill XSherman)
(WALK TA_XLegrand XSherman XWorstell)
(WALK TA_XLegrand XWorstell XJones)
(WALK TA_XLegrand XJones XHolderman)
(WALK TA_XLegrand XHolderman XHenry)
(WALK TA_XLegrand XHenry XPadgett)
(WALK TA_XLegrand XPadgett XMorgan)
(WALK TA_XLegrand XMorgan XBean)
(WALK TA_XLegrand XBean XWashington)
(WALK TA_XLegrand XWashington XSmith)
(WALK TA_XLegrand XSmith XVirtue)
(WALK TA_XLegrand XVirtue XPatterson)
(WALK TA_XLegrand XPatterson XPerrault)
(WALK TA_XLegrand XPerrault XBaker)
(WALK TA_XLegrand XBaker XHannon)
(WALK TA_XLegrand XHannon XDuckey)
(WALK TA_XLegrand XDuckey XPenrod)
(WALK TA_XLegrand XPenrod XWalker)
(WALK TA_XLegrand XWalker XJoy)
(WALK TA_XLegrand XJoy XWallace)
(WALK TA_XLegrand XWallace XCork)
(WALK TA_XLegrand XCork XHosle)
(WALK TA_XLegrand XHosle XCourtney)
(WALK TA_XLegrand XCourtney XMedina)
(WALK TA_XLegrand XMedina XRivers)
(WALK TA_XLegrand XRivers XCarroll)
(WALK TA_XLegrand XCarroll XDominguez)
(WALK TA_XLegrand XDominguez XBranson)
(WALK TA_XLegrand XBranson XSebeniecher)
(WALK TA_XLegrand XSebeniecher XSnyder)
(WALK TA_XLegrand XSnyder XSkelton)
(WALK TA_XLegrand XSkelton XMunoz)
(WALK TA_XLegrand XMunoz XCribb)
(WALK TA_XLegrand XCribb XBraswell)
(WALK TA_XLegrand XBraswell XJenkins)
(WALK TA_XLegrand XJenkins XWebb)
(WALK TA_XLegrand XWebb XBerka)
(WALK TA_XLegrand XBerka XCollins)
(WALK TA_XLegrand XCollins XPeters)
(WALK TA_XLegrand XPeters XWilson)
(WALK TA_XLegrand XWilson XWhite)
(WALK TA_XLegrand XWhite XHarris)
(WALK TA_XLegrand XHarris XAnderson)
(WALK TA_XLegrand XAnderson XDray)
(HOMESAFE TA_XLegrand Xdray)
(DROPOFF TA_XRobinson XHershberger)
(WALK TA_XRobinson XHershberger XMorales)
(WALK TA_XRobinson XMorales XDison)
(WALK TA_XRobinson XDison XTaylor)
(WALK TA_XRobinson XTaylor XFolsom)
(WALK TA_XRobinson XFolsom XRachel)
(WALK TA_XRobinson XRachel XManzi)
(WALK TA_XRobinson XManzi XTorrez)
(WALK TA_XRobinson XTorrez XParks)
(WALK TA_XRobinson XParks XGuerra)
(WALK TA_XRobinson XGuerra XMorris)
(WALK TA_XRobinson XMorris XFord)
(WALK TA_XRobinson XFord XBrewer)
(WALK TA_XRobinson XBrewer XRossi)
(WALK TA_XRobinson XRossi XScalise)
(WALK TA_XRobinson XScalise XRodgers)
(WALK TA_XRobinson XRodgers XWilliams)
(WALK TA_XRobinson XWilliams XLawson)
(WALK TA_XRobinson XLawson XWheeler)
(WALK TA_XRobinson XWheeler XNeal)
(WALK TA_XRobinson XNeal XLewis)
(WALK TA_XRobinson XLewis XMcclain)
(WALK TA_XRobinson XMcclain XKerr)
(WALK TA_XRobinson XKerr XBurke)
(WALK TA_XRobinson XBurke XDanger)
(WALK TA_XRobinson XDanger XHigginbotham)
(WALK TA_XRobinson XHigginbotham XOwens)
(WALK TA_XRobinson XOwens XMohr)
(WALK TA_XRobinson XMohr XHughes)
(WALK TA_XRobinson XHughes XHill)
(WALK TA_XRobinson XHill XSherman)
(WALK TA_XRobinson XSherman XWorstell)
(WALK TA_XRobinson XWorstell XJones)
(WALK TA_XRobinson XJones XHolderman)
(WALK TA_XRobinson XHolderman XHenry)
(WALK TA_XRobinson XHenry XPadgett)
(WALK TA_XRobinson XPadgett XMorgan)
(WALK TA_XRobinson XMorgan XBean)
(WALK TA_XRobinson XBean XWashington)
(WALK TA_XRobinson XWashington XSmith)
(WALK TA_XRobinson XSmith XVirtue)
(WALK TA_XRobinson XVirtue XPatterson)
(WALK TA_XRobinson XPatterson XPerrault)
(WALK TA_XRobinson XPerrault XBaker)
(WALK TA_XRobinson XBaker XHannon)
(WALK TA_XRobinson XHannon XDuckey)
(WALK TA_XRobinson XDuckey XPenrod)
(WALK TA_XRobinson XPenrod XWalker)
(WALK TA_XRobinson XWalker XJoy)
(WALK TA_XRobinson XJoy XWallace)
(WALK TA_XRobinson XWallace XCork)
(WALK TA_XRobinson XCork XHosle)
(WALK TA_XRobinson XHosle XCourtney)
(WALK TA_XRobinson XCourtney XMedina)
