(DROPOFF TA_XNunez XBooth)
(WALK TA_XCastelli XGrose XBoyd)
(WALK TA_XCastelli XBoyd XTerry)
(WALK TA_XCastelli XTerry XDavis)
(WALK TA_XCastelli XDavis XVann)
(WALK TA_XCastelli XVann XMachenry)
(WALK TA_XCastelli XMachenry XBurroughs)
(WALK TA_XCastelli XBurroughs XJarrette)
(WALK TA_XCastelli XJarrette XSung)
(WALK TA_XCastelli XSung XNorwood)
(WALK TA_XCastelli XNorwood XBradley)
(WALK TA_XCastelli XBradley XCurry)
(WALK TA_XCastelli XCurry XBurditt)
(WALK TA_XCastelli XBurditt XWhitmore)
(WALK TA_XCastelli XWhitmore XBeebe)
(WALK TA_XCastelli XBeebe XPoirrier)
(WALK TA_XCastelli XPoirrier XReed)
(WALK TA_XCastelli XReed XLynn)
(WALK TA_XCastelli XLynn XLy)
(WALK TA_XCastelli XLy XYoung)
(WALK TA_XCastelli XYoung XHall)
(WALK TA_XCastelli XHall XObrien)
(WALK TA_XCastelli XObrien XRodriguez)
(WALK TA_XCastelli XRodriguez XJoseph)
(WALK TA_XCastelli XJoseph XNunez)
(WALK TA_XCastelli XNunez XTrent)
(WALK TA_XCastelli XTrent XLangley)
(WALK TA_XCastelli XLangley XCastelli)
(HOMESAFE TA_XCastelli Xcastelli)
